,rule_lhs,rule_rhs,lhs,rhs,judgment,confidence
324,have a great influence on,have an influence on,His life have a great influence on others,His life have an influence on others,Yes,1.0
325,be overwhelmed by,be overcome by,the island be overwhelmed by development,the island be overcome by development,Yes,1.0
326,come into,come in to,A guy come into the room,A guy come in to the room,Yes,1.0
327,declare,call,my mouth declare Thy praise,my mouth call Thy praise,Yes,1.0
328,end up make,make,Google end up make billions,Google make billions,Yes,1.0
329,happen through,be made possible by,experience happen through trial and error,experience be made possible by trial and error,Yes,1.0
330,be propagated to,be moved over to,the changes be propagated to the primary database,the changes be moved over to the primary database,Yes,1.0
331,be important for,be great for,Regular physical activity be important for your overall health and fitness,Regular physical activity be great for your overall health and fitness,Yes,1.0
332,have a range of,offer a wide choice of,this book have a range of flavors,this book offer a wide choice of flavors,Yes,1.0
333,embark on,get ready for,others embark on studies,others get ready for studies,Yes,1.0
334,be designed in,be done in,All rooms be designed in pastel colours,All rooms be done in pastel colours,Yes,1.0
335,belong to,be property of,Athens belong to Minerva,Athens be property of Minerva,Yes,1.0
336,be referred to as,be considered to be,Seattle be referred to as the rainy city,Seattle be considered to be the rainy city,Yes,1.0
337,run until,go on until,"This exhibit run until July 6 , 2008","This exhibit go on until July 6 , 2008",Yes,1.0
338,bear,be to bear,Each party bear its own legal costs,Each party be to bear its own legal costs,Yes,1.0
339,be similar to,be the same as,the symptoms be similar to those of a number of other conditions,the symptoms be the same as those of a number of other conditions,Yes,1.0
340,fall down,tumble down,the dude fall down the stairs,the dude tumble down the stairs,Yes,1.0
341,be to bring,be to provide an opportunity for,The idea be to bring information,The idea be to provide an opportunity for information,Yes,1.0
342,pass on,pass away,him pass on that evening,him pass away that evening,Yes,1.0
343,be given throughout,continue throughout,Tests be given throughout the morning,Tests continue throughout the morning,Yes,1.0
344,run out of,seem to run out of,Bruno run out of the room,Bruno seem to run out of the room,Yes,1.0
345,progress towards,get closer to,the city progress towards regeneration,the city get closer to regeneration,Yes,1.0
346,build,be build,a settler build his cabin,a settler be build his cabin,Yes,1.0
347,be proud of,feel proud of,All of you be proud of yourselves,All of you feel proud of yourselves,Yes,1.0
348,remain on,remain at,All traffic remain on your site,All traffic remain at your site,Yes,1.0
349,start out with,open with,the program start out with the heading,the program open with the heading,Yes,1.0
350,do more on,do something on,Japan do more on security,Japan do something on security,Yes,1.0
351,declare,issue,my mouth declare Thy praise,my mouth issue Thy praise,Yes,1.0
352,be renowned for,be respected for,The College be renowned for its award,The College be respected for its award,Yes,1.0
353,browse,access,the individuals browse the site,the individuals access the site,Yes,1.0
354,be sold throughout,be sold within,These dogs be sold throughout America,These dogs be sold within America,Yes,1.0
355,consist of,encompass,The model consist of seven layers,The model encompass seven layers,Yes,1.0
356,contact,speak to,The parties contact each other,The parties speak to each other,Yes,1.0
357,serve as,be made,a web site serve as a gateway,a web site be made a gateway,Yes,1.0
358,have solution for,offer solution to,the equations have solution for x and y,the equations offer solution to x and y,Yes,1.0
359,lash,batter,Hurricane Rita lash western Louisiana and eastern Texas,Hurricane Rita batter western Louisiana and eastern Texas,Yes,1.0
360,have a number of,offer a number of,the park have a number of different areas,the park offer a number of different areas,Yes,1.0
361,integrate into,fit in with,your game integrate into your Desktop,your game fit in with your Desktop,Yes,1.0
362,worship,be worshipped by@R@,David worship Allah,Allah be worshipped by David,Yes,1.0
363,read through,review,Don read through our guide,Don review our guide,Yes,1.0
364,be downloaded for,be available for,This story be downloaded for personal use,This story be available for personal use,Yes,1.0
365,remain open to,be open for,campus remain open to the entire community,campus be open for the entire community,Yes,1.0
366,turn off,shut down,Your parent turn off comments,Your parent shut down comments,Yes,1.0
367,help with,help in,the only medications help with APD.,the only medications help in APD.,Yes,1.0
368,be optimal for,be best for,a newspaper be optimal for advertising,a newspaper be best for advertising,Yes,1.0
369,fly to,be headed to,The team fly to Asia,The team be headed to Asia,Yes,1.0
370,be included in,be located inside,the most up-to-date information be included in the web site,the most up-to-date information be located inside the web site,Yes,1.0
371,be used on,be performed on,The application be used on Linux,The application be performed on Linux,Yes,1.0
372,be the kind of,be kind of,Trolling be the kind of fishing,Trolling be kind of fishing,Yes,1.0
373,take a stroll through,walk through,the Prince take a stroll through the castle,the Prince walk through the castle,Yes,1.0
374,set up,build,mysteries set up a puzzle,mysteries build a puzzle,Yes,1.0
375,take a look at,visit,my clients take a look at this site,my clients visit this site,Yes,1.0
376,be distinguished from,be to be distinguished from,Crew be distinguished from cast,Crew be to be distinguished from cast,Yes,1.0
377,go for,apply to,The same thing go for dogs,The same thing apply to dogs,Yes,1.0
378,be entered into,be placed into,Arizona be entered into the United States,Arizona be placed into the United States,Yes,1.0
379,inflict on,do to,its aftermath inflict on society,its aftermath do to society,Yes,1.0
380,arrive in,arrive at,My nephews arrive in a few weeks,My nephews arrive at a few weeks,Yes,1.0
381,be light in,be pale in,The wood be light in color,The wood be pale in color,Yes,1.0
382,drop out of,exit,A lot of people drop out of school,A lot of people exit school,Yes,1.0
383,be tortured by,be tormented by,Prisoners be tortured by the thousands,Prisoners be tormented by the thousands,Yes,1.0
384,be published on,be published in,some documents and photos be published on this site,some documents and photos be published in this site,Yes,1.0
385,start to,begin to,The ceiling start to cave,The ceiling begin to cave,Yes,1.0
386,be sold to,be shared with,your account be sold to a third party,your account be shared with a third party,Yes,1.0
387,be done on,be carried out on,Personalization be done on the base,Personalization be carried out on the base,Yes,1.0
388,affect,have an impact on,HIV/AIDS affect your life,HIV/AIDS have an impact on your life,Yes,1.0
389,be open to,be offered to,The survey be open to students,The survey be offered to students,Yes,1.0
390,be displayed throughout,be found throughout,Posters be displayed throughout the workshop,Posters be found throughout the workshop,yes,1.0
391,step into,step in,the vice president step into the Oval office,the vice president step in the Oval office,Yes,1.0
392,be all affected by,continue to affect@R@,our education be all affected by the quality and availability of transportation,the quality and availability of transportation continue to affect our education,Yes,1.0
393,be increased in,be greater in,these tribes be increased in number,these tribes be greater in number,Yes,1.0
394,wear,put on,most of the men wear beards,most of the men put on beards,Yes,1.0
395,be vital for,play an important role in,Water be vital for survival,Water play an important role in survival,Yes,1.0
396,offer plenty of,have lot of,Montessori offer plenty of work,Montessori have lot of work,Yes,1.0
397,search for,be interested in,Members search for a cruise,Members be interested in a cruise,Yes,1.0
398,be known as,be termed,the owner of an LLC be known as a member,the owner of an LLC be termed a member,Yes,1.0
399,be all affected by,affect by,our education be all affected by the quality and availability of transportation,our education affect by the quality and availability of transportation,Yes,1.0
400,find the answer to,find an answer to,Can't find the answer to your question,Can't find an answer to your question,Yes,1.0
