rule_lhs	rule_rhs	lhs	rhs	judgment	confidence
agree with	disagree with@R@	Gibson agree with him	him disagree with Gibson	No	1
represent	seek	One player represent the Cats	One player seek the Cats	No	1
unwind on	enjoy the view from	Our guests unwind on our terrace	Our guests enjoy the view from our terrace	No	1
pass	need to take	the guests pass the parcel	the guests need to take the parcel	No	1
run for	win the race for	CHEERS run for 11 seasons	CHEERS win the race for 11 seasons	No	1
restart	decode	Johnny restart the job	Johnny decode the job	No	1
be the beginning of	be the latest in	The fear of the LORD be the beginning of knowledge	The fear of the LORD be the latest in knowledge	No	1
be prepared for	attend	Retailers be prepared for a downturn	Retailers attend a downturn	No	1
be expand	be begin	The plan be expand next year	The plan be begin next year	No	1
recognize the need of	provide education to	the Governor recognize the need of Upstate	the Governor provide education to Upstate	No	1
kick	co-stars@R@	Donna kick Julie	Julie co-stars Donna	No	1
leave with	say goodbye to	Linda leave with Chris	Linda say goodbye to Chris	No	1
request	be entitled to	hosts request locks	hosts be entitled to locks	No	1
think about	be rated above	most people think about Autism	most people be rated above Autism	No	1
be new to	be familiar with	Students be new to the school	Students be familiar with the school	No	1
expect to make	dont make	Senior associates expect to make partner	Senior associates dont make partner	No	1
be starved for	be awash in	your cells be starved for energy	your cells be awash in energy	No	1
tease	rub	The guys tease their fans	The guys rub their fans	No	1
be closed for	be open for	school be closed for Veterans Day	school be open for Veterans Day	No	1
display	print	The site display many photos	The site print many photos	No	1
offer to	be given to	a hotel offer to its clients	a hotel be given to its clients	No	1
blame	employ	India blame Pakistan	India employ Pakistan	No	1
be to fit	be to regulate	the most important things be to fit the shoulders	the most important things be to regulate the shoulders	No	1
dismiss	confirm	the Trial Court dismiss his cause of action	the Trial Court confirm his cause of action	No	1
exist in	be rare in	duty and taxes exist in your country	duty and taxes be rare in your country	No	1
hear about	be pleased with	Wanna hear about my day	Wanna be pleased with my day	No	1
feel the same way as	be happy for	Ada feel the same way as Inman	Ada be happy for Inman	No	1
care for	abandon	families and friends care for older people	families and friends abandon older people	No	1
be wrong for	be one thing for	Reagan be wrong for our country	Reagan be one thing for our country	No	1
be tortured by	be confronted by	Prisoners be tortured by the thousands	Prisoners be confronted by the thousands	No	1
fly to	be based in	Enola Gay fly to Tinian	Enola Gay be based in Tinian	No	1
be different from	be priced above	our existence be different from other peoples	our existence be priced above other peoples	No	1
agree with	argue with	Gibson agree with him	Gibson argue with him	No	1
be crushed to	be condemned to	Two women be crushed to death	Two women be condemned to death	No	1
want to be	ask	the old man want to be president	the old man ask president	No	1
be something with	wont work on	the search engines be something with many variables	the search engines wont work on many variables	No	1
know about	overdose on	the public know about the trial	the public overdose on the trial	No	1
call my attention to	take solace in	A reader call my attention to a statement	A reader take solace in a statement	No	1
be grateful for	be overwhelmed by	Readers be grateful for your insight	Readers be overwhelmed by your insight	No	1
concern	revolve around	This information concern the owners	This information revolve around the owners	No	1
have no name for	put word to	the local Indians have no name for the mountain	the local Indians put word to the mountain	No	1
be willing to learn	master	The artists be willing to learn programming	The artists master programming	No	1
be subjected to	be purified by	Israel be subjected to the Roman empire	Israel be purified by the Roman empire	No	1
own most of	sell all of	the nobles own most of the land	the nobles sell all of the land	No	1
split	convert	the Committee split the award	the Committee convert the award	No	1
be similar for	be equal for	the user interface be similar for the programs	the user interface be equal for the programs	No	1
be infected with	be vaccinated against	my home computer be infected with a virus	my home computer be vaccinated against a virus	No	1
be to fit	be to pull	the most important things be to fit the shoulders	the most important things be to pull the shoulders	No	1
be afraid of	have no fear of	Elijah be afraid of him	Elijah have no fear of him	No	1
do nothing at	make no sense at	Peter do nothing at the moment	Peter make no sense at the moment	No	1
step in for	play behind	Michelle Obama step in for her husband	Michelle Obama play behind her husband	No	1
need to figure out	be sure of	Customers need to figure out their options	Customers be sure of their options	No	1
be infected with	be tested for	my home computer be infected with a virus	my home computer be tested for a virus	No	1
worry about	experience	a dad worry about the fact	a dad experience the fact	No	1
play a role in	play a key role in	stress play a role in depression	stress play a key role in depression	No	1
live in for	be a fan for	their families live in for centuries	their families be a fan for centuries	No	1
tease	smile as	Caroline tease him	Caroline smile as him	No	1
be elected	resign as	George Washington be elected President	George Washington resign as President	No	1
run for	win the race for	This course run for the first time	This course win the race for the first time	No	1
explore	accomplish	This lecture explore the steps	This lecture accomplish the steps	No	1
be uncommon for	be natural for	Support groups be uncommon for this condition	Support groups be natural for this condition	No	1
be better off use	use some kind of	FEMA be better off use LIDAR	FEMA use some kind of LIDAR	No	1
quit	be good at	Michelangelo quit the Medici court	Michelangelo be good at the Medici court	No	1
be packaged for	be damaged during	Your order be packaged for your privacy and protection	Your order be damaged during your privacy and protection	No	1
begin to talk to	feel sorry for	Chris begin to talk to Gordie	Chris feel sorry for Gordie	No	1
possess	abuse	Applicants possess basic computer skills	Applicants abuse basic computer skills	No	1
